R_kf_x,L_kf_x,R_x,L_x,R_kf_v,L_kf_v,R_v,L_v,R_kf_w,L_kf_w,a,w
-0.521091,-0.521091,17.455709,-19.697216,-0.000665,-0.000665,0.000000,0.000000,-0.012746,-0.012746,-0.017913,-0.016677
-0.521099,-0.521099,17.455709,-19.697216,-0.000898,-0.000898,0.000000,0.000000,0.008033,0.008033,-0.055373,0.012085
-0.521109,-0.521109,17.455709,-19.697216,-0.000993,-0.000993,0.000000,0.000000,-0.003140,-0.003140,0.000822,0.000367
-0.521119,-0.521119,17.455709,-19.697216,-0.000961,-0.000961,0.000000,0.000000,0.016267,0.016267,0.009552,0.023803
-0.521129,-0.521129,17.455709,-19.697216,-0.001009,-0.001009,0.000000,0.000000,-0.010885,-0.010885,0.025118,-0.014546
-0.521140,-0.521140,17.455709,-19.697216,-0.001186,-0.001186,0.000000,0.000000,-0.008933,-0.008933,-0.049384,-0.006024
-0.521152,-0.521152,17.455709,-19.697216,-0.001193,-0.001193,0.000000,0.000000,-0.013158,-0.013158,-0.024825,-0.015612
-0.521163,-0.521163,17.455709,-19.697216,-0.001096,-0.001096,0.000000,0.000000,0.003223,0.003223,0.031860,0.000367
-0.521174,-0.521174,17.455709,-19.697216,-0.001121,-0.001121,0.000000,0.000000,-0.002912,-0.002912,-0.021396,-0.006024
-0.521185,-0.521185,17.455709,-19.697216,-0.001139,-0.001139,0.000000,0.000000,-0.011223,-0.011223,-0.008687,-0.015612
-0.521197,-0.521197,17.455709,-19.697216,-0.001009,-0.001009,0.000000,0.000000,0.001789,0.001789,0.050503,0.000367
-0.521206,-0.521206,17.455709,-19.697216,-0.000873,-0.000873,0.000000,0.000000,0.014913,0.014913,0.048292,0.011020
-0.521214,-0.521214,17.455709,-19.697216,-0.000741,-0.000741,0.000000,0.000000,0.005058,0.005058,0.007557,0.006759
